   Elapsed time	 RESP, 	PLETH, 	    V, 	  AVR, 	   II, 
          0.656	  0.042	  0.435	  0.484	  0.380	  0.606
          0.664	  0.050	  0.431	  0.490	  0.425	  0.545
          0.672	  0.061	  0.426	  0.484	  0.465	  0.475
          0.680	  0.070	  0.423	  0.500	  0.500	  0.429
          0.688	  0.082	  0.420	  0.510	  0.520	  0.384
          0.696	  0.095	  0.418	  0.520	  0.545	  0.345
          0.704	  0.108	  0.416	  0.525	  0.565	  0.320
          0.712	  0.121	  0.414	  0.525	  0.580	  0.310
          0.720	  0.134	  0.414	  0.525	  0.580	  0.310
          0.728	  0.147	  0.413	  0.529	  0.571	  0.310
          0.736	  0.159	  0.413	  0.525	  0.575	  0.304
          0.744	  0.171	  0.413	  0.520	  0.590	  0.294
          0.752	  0.185	  0.413	  0.516	  0.580	  0.300
          0.760	  0.197	  0.413	  0.506	  0.565	  0.329
          0.768	  0.211	  0.413	  0.500	  0.571	  0.329
          0.776	  0.226	  0.413	  0.500	  0.571	  0.324
          0.784	  0.238	  0.415	  0.506	  0.561	  0.339
          0.792	  0.250	  0.417	  0.510	  0.565	  0.329
          0.800	  0.262	  0.419	  0.516	  0.565	  0.335
          0.808	  0.274	  0.420	  0.500	  0.561	  0.339
          0.816	  0.284	  0.421	  0.506	  0.565	  0.339
          0.824	  0.295	  0.421	  0.506	  0.555	  0.339
          0.832	  0.306	  0.420	  0.500	  0.561	  0.339
          0.840	  0.317	  0.419	  0.500	  0.565	  0.335
          0.848	  0.328	  0.416	  0.506	  0.561	  0.329
          0.856	  0.340	  0.414	  0.500	  0.571	  0.320
          0.864	  0.352	  0.413	  0.510	  0.565	  0.329
          0.872	  0.364	  0.413	  0.506	  0.565	  0.335
          0.880	  0.374	  0.416	  0.535	  0.561	  0.339
          0.888	  0.385	  0.421	  0.555	  0.545	  0.355
          0.896	  0.394	  0.428	  0.571	  0.535	  0.365
          0.904	  0.404	  0.437	  0.555	  0.551	  0.345
          0.912	  0.414	  0.451	  0.539	  0.545	  0.335
          0.920	  0.425	  0.468	  0.500	  0.561	  0.314
          0.928	  0.438	  0.487	  0.484	  0.571	  0.310
          0.936	  0.450	  0.505	  0.465	  0.571	  0.314
          0.944	  0.461	  0.524	  0.461	  0.565	  0.329
          0.952	  0.473	  0.542	  0.465	  0.571	  0.320
          0.960	  0.484	  0.558	  0.461	  0.561	  0.335
          0.968	  0.496	  0.572	  0.475	  0.575	  0.310
          0.976	  0.508	  0.582	  0.475	  0.580	  0.310
          0.984	  0.522	  0.587	  0.471	  0.590	  0.304
          0.992	  0.536	  0.590	  0.465	  0.580	  0.310
          1.000	  0.550	  0.590	  0.475	  0.580	  0.314
          1.008	  0.567	  0.591	  0.565	  0.596	  0.265
          1.016	  0.583	  0.590	  0.584	  0.494	  0.455
          1.024	  0.599	  0.589	  0.239	  0.084	  1.208
          1.032	  0.617	  0.587	 -0.388	 -0.418	  1.504
          1.040	  0.632	  0.583	 -0.502	 -0.424	  1.504
          1.048	  0.647	  0.578	  0.029	  0.375	  0.826
          1.056	  0.662	  0.571	  0.394	  0.606	  0.335
          1.064	  0.675	  0.563	  0.475	  0.575	  0.314
          1.072	  0.690	  0.552	  0.480	  0.561	  0.335
          1.080	  0.704	  0.541	  0.500	  0.571	  0.314
          1.088	  0.718	  0.529	  0.510	  0.571	  0.310
          1.096	  0.733	  0.517	  0.520	  0.571	  0.304
          1.104	  0.747	  0.507	  0.525	  0.571	  0.310
          1.112	  0.761	  0.498	  0.520	  0.555	  0.314
          1.120	  0.773	  0.488	  0.506	  0.561	  0.310
          1.128	  0.786	  0.480	  0.494	  0.545	  0.335
          1.136	  0.799	  0.474	  0.490	  0.555	  0.335
          1.144	  0.812	  0.470	  0.494	  0.539	  0.349
          1.152	  0.826	  0.468	  0.500	  0.535	  0.365
          1.160	  0.840	  0.467	  0.484	  0.525	  0.375
          1.168	  0.854	  0.466	  0.475	  0.510	  0.404
          1.176	  0.870	  0.464	  0.480	  0.500	  0.425
          1.184	  0.885	  0.460	  0.490	  0.480	  0.449
          1.192	  0.900	  0.457	  0.490	  0.465	  0.480
          1.200	  0.915	  0.453	  0.494	  0.445	  0.516
          1.208	  0.929	  0.448	  0.475	  0.410	  0.571
          1.216	  0.941	  0.444	  0.461	  0.384	  0.610
          1.224	  0.955	  0.439	  0.445	  0.339	  0.676
          1.232	  0.968	  0.433	  0.429	  0.310	  0.731
          1.240	  0.981	  0.430	  0.429	  0.284	  0.776
          1.248	  0.991	  0.427	  0.425	  0.265	  0.800
          1.256	  1.000	  0.425	  0.425	  0.265	  0.800
          1.264	  1.000	  0.422	  0.429	  0.269	  0.800
          1.272	  1.000	  0.419	  0.410	  0.278	  0.776
          1.280	  1.000	  0.417	  0.404	  0.324	  0.716
          1.288	  1.000	  0.415	  0.429	  0.365	  0.651
          1.296	  1.000	  0.413	  0.471	  0.410	  0.584
          1.304	  1.000	  0.413	  0.500	  0.455	  0.506
          1.312	  1.000	  0.412	  0.539	  0.506	  0.435
          1.320	  1.000	  0.412	  0.565	  0.545	  0.371
          1.328	  1.000	  0.412	  0.596	  0.571	  0.329
          1.336	  1.000	  0.413	  0.600	  0.596	  0.290
          1.344	  1.000	  0.413	  0.610	  0.616	  0.259
          1.352	  1.000	  0.413	  0.616	  0.625	  0.239
          1.360	  1.000	  0.414	  0.610	  0.635	  0.229
          1.368	  1.000	  0.415	  0.590	  0.629	  0.239
          1.376	  1.000	  0.416	  0.584	  0.616	  0.255
          1.384	  1.000	  0.416	  0.580	  0.616	  0.265
          1.392	  1.000	  0.417	  0.584	  0.600	  0.284
          1.400	  1.000	  0.417	  0.590	  0.584	  0.304
          1.408	  1.000	  0.418	  0.596	  0.571	  0.329
          1.416	  1.000	  0.418	  0.606	  0.565	  0.345
          1.424	  1.000	  0.418	  0.596	  0.551	  0.355
          1.432	  1.000	  0.419	  0.596	  0.551	  0.371
          1.440	  1.000	  0.420	  0.590	  0.545	  0.380
          1.448	  1.000	  0.420	  0.590	  0.539	  0.384
          1.456	  1.000	  0.421	  0.571	  0.539	  0.394
          1.464	  1.000	  0.420	  0.571	  0.545	  0.384
          1.472	  1.000	  0.418	  0.565	  0.545	  0.384
          1.480	  1.000	  0.416	  0.565	  0.539	  0.380
          1.488	  1.000	  0.415	  0.555	  0.551	  0.375
          1.496	  1.000	  0.413	  0.551	  0.551	  0.371
          1.504	  1.000	  0.412	  0.545	  0.545	  0.365
          1.512	  1.000	  0.411	  0.561	  0.551	  0.359
          1.520	  1.000	  0.412	  0.571	  0.539	  0.375
          1.528	  1.000	  0.414	  0.596	  0.529	  0.384
          1.536	  1.000	  0.419	  0.606	  0.539	  0.380
          1.544	  1.000	  0.427	  0.616	  0.539	  0.359
          1.552	  1.000	  0.439	  0.590	  0.545	  0.349
          1.560	  1.000	  0.454	  0.565	  0.561	  0.314
          1.568	  1.000	  0.472	  0.525	  0.571	  0.310
          1.576	  1.000	  0.490	  0.516	  0.571	  0.320
          1.584	  1.000	  0.508	  0.490	  0.565	  0.335
          1.592	  1.000	  0.524	  0.484	  0.561	  0.339
          1.600	  1.000	  0.537	  0.494	  0.561	  0.335
          1.608	  1.000	  0.548	  0.500	  0.565	  0.335
          1.616	  1.000	  0.559	  0.500	  0.571	  0.324
          1.624	  1.000	  0.568	  0.500	  0.575	  0.329
          1.632	  0.989	  0.574	  0.500	  0.571	  0.335
          1.640	  0.978	  0.578	  0.494	  0.571	  0.345
          1.648	  0.959	  0.580	  0.551	  0.584	  0.300
          1.656	  0.939	  0.580	  0.610	  0.606	  0.259
          1.664	  0.919	  0.579	  0.449	  0.355	  0.716
          1.672	  0.898	  0.577	 -0.163	 -0.186	  1.504
          1.680	  0.879	  0.574	 -0.502	 -0.382	  1.504
          1.688	  0.859	  0.570	 -0.337	  0.094	  1.378
          1.696	  0.841	  0.564	  0.214	  0.516	  0.520
          1.704	  0.823	  0.555	  0.394	  0.545	  0.404
          1.712	  0.804	  0.544	  0.439	  0.525	  0.410
          1.720	  0.785	  0.533	  0.475	  0.539	  0.371
          1.728	  0.764	  0.521	  0.500	  0.539	  0.355
          1.736	  0.745	  0.509	  0.520	  0.555	  0.335
          1.744	  0.726	  0.500	  0.516	  0.545	  0.355
          1.752	  0.708	  0.492	  0.500	  0.535	  0.371
          1.760	  0.691	  0.486	  0.484	  0.529	  0.375
          1.768	  0.674	  0.480	  0.480	  0.535	  0.365
          1.776	  0.657	  0.474	  0.484	  0.525	  0.380
          1.784	  0.639	  0.469	  0.494	  0.529	  0.380
          1.792	  0.624	  0.465	  0.500	  0.520	  0.380
          1.800	  0.607	  0.462	  0.494	  0.516	  0.400
          1.808	  0.592	  0.460	  0.475	  0.500	  0.420
          1.816	  0.578	  0.457	  0.484	  0.500	  0.420
          1.824	  0.565	  0.455	  0.475	  0.475	  0.461
          1.832	  0.552	  0.451	  0.480	  0.465	  0.475
          1.840	  0.543	  0.446	  0.475	  0.449	  0.506
          1.848	  0.533	  0.441	  0.480	  0.435	  0.525
          1.856	  0.525	  0.437	  0.475	  0.400	  0.590
          1.864	  0.517	  0.432	  0.480	  0.375	  0.620
          1.872	  0.510	  0.428	  0.475	  0.339	  0.676
          1.880	  0.504	  0.425	  0.475	  0.310	  0.722
          1.888	  0.500	  0.423	  0.471	  0.284	  0.751
          1.896	  0.496	  0.421	  0.475	  0.269	  0.776
          1.904	  0.492	  0.419	  0.480	  0.278	  0.771
          1.912	  0.488	  0.417	  0.480	  0.275	  0.771
          1.920	  0.485	  0.415	  0.480	  0.294	  0.745
          1.928	  0.482	  0.413	  0.484	  0.329	  0.690
          1.936	  0.479	  0.413	  0.480	  0.371	  0.629
          1.944	  0.477	  0.411	  0.480	  0.410	  0.565
          1.952	  0.475	  0.410	  0.480	  0.449	  0.506
          1.960	  0.473	  0.409	  0.490	  0.490	  0.455
          1.968	  0.471	  0.408	  0.494	  0.516	  0.416
          1.976	  0.470	  0.408	  0.494	  0.529	  0.390
          1.984	  0.468	  0.408	  0.500	  0.545	  0.365
          1.992	  0.467	  0.408	  0.500	  0.561	  0.345
          2.000	  0.465	  0.408	  0.506	  0.571	  0.335
          2.008	  0.464	  0.409	  0.500	  0.565	  0.329
          2.016	  0.461	  0.409	  0.516	  0.565	  0.335
          2.024	  0.459	  0.408	  0.510	  0.571	  0.324
          2.032	  0.456	  0.408	  0.516	  0.561	  0.339
          2.040	  0.454	  0.408	  0.510	  0.545	  0.359
          2.048	  0.449	  0.409	  0.510	  0.545	  0.365
          2.056	  0.445	  0.409	  0.500	  0.545	  0.375
          2.064	  0.439	  0.411	  0.510	  0.539	  0.365
          2.072	  0.434	  0.412	  0.506	  0.535	  0.380
          2.080	  0.428	  0.412	  0.510	  0.529	  0.384
          2.088	  0.422	  0.413	  0.506	  0.535	  0.394
          2.096	  0.414	  0.413	  0.510	  0.520	  0.404
          2.104	  0.407	  0.411	  0.506	  0.529	  0.380
          2.112	  0.397	  0.409	  0.500	  0.520	  0.394
          2.120	  0.387	  0.407	  0.500	  0.520	  0.394
          2.128	  0.376	  0.405	  0.506	  0.529	  0.380
          2.136	  0.366	  0.405	  0.506	  0.535	  0.375
          2.144	  0.354	  0.406	  0.510	  0.539	  0.371
          2.152	  0.342	  0.409	  0.510	  0.535	  0.375
          2.160	  0.331	  0.414	  0.529	  0.525	  0.390
          2.168	  0.322	  0.424	  0.545	  0.520	  0.400
          2.176	  0.313	  0.438	  0.565	  0.520	  0.394
          2.184	  0.303	  0.457	  0.571	  0.520	  0.390
          2.192	  0.295	  0.475	  0.575	  0.529	  0.380
          2.200	  0.287	  0.493	  0.545	  0.539	  0.355
          2.208	  0.281	  0.512	  0.520	  0.561	  0.320
          2.216	  0.274	  0.531	  0.494	  0.551	  0.345
          2.224	  0.268	  0.549	  0.471	  0.545	  0.359
          2.232	  0.263	  0.565	  0.461	  0.545	  0.375
          2.240	  0.259	  0.579	  0.465	  0.545	  0.371
          2.248	  0.255	  0.589	  0.480	  0.545	  0.375
          2.256	  0.253	  0.598	  0.490	  0.561	  0.339
          2.264	  0.251	  0.604	  0.500	  0.565	  0.349
          2.272	  0.250	  0.608	  0.494	  0.571	  0.339
          2.280	  0.250	  0.610	  0.494	  0.565	  0.349
          2.288	  0.251	  0.610	  0.490	  0.561	  0.355
          2.296	  0.252	  0.610	  0.600	  0.590	  0.269
          2.304	  0.253	  0.609	  0.616	  0.500	  0.449
          2.312	  0.255	  0.609	  0.200	  0.110	  1.176
          2.320	  0.256	  0.606	 -0.502	 -0.367	  1.504
          2.328	  0.258	  0.601	 -0.502	 -0.382	  1.504
          2.336	  0.259	  0.594	 -0.073	  0.375	  0.816
          2.344	  0.260	  0.585	  0.300	  0.529	  0.455
          2.352	  0.259	  0.575	  0.410	  0.520	  0.429
          2.360	  0.259	  0.563	  0.471	  0.525	  0.400
          2.368	  0.257	  0.551	  0.506	  0.535	  0.365
          2.376	  0.256	  0.540	  0.535	  0.545	  0.349
          2.384	  0.254	  0.529	  0.545	  0.545	  0.339
          2.392	  0.252	  0.521	  0.539	  0.539	  0.349
          2.400	  0.249	  0.513	  0.539	  0.525	  0.371
          2.408	  0.246	  0.506	  0.529	  0.525	  0.359
          2.416	  0.241	  0.502	  0.525	  0.520	  0.380
          2.424	  0.238	  0.499	  0.520	  0.510	  0.394
          2.432	  0.233	  0.497	  0.529	  0.500	  0.404
          2.440	  0.227	  0.495	  0.529	  0.500	  0.416
          2.448	  0.221	  0.492	  0.535	  0.494	  0.420
          2.456	  0.215	  0.489	  0.520	  0.484	  0.429
          2.464	  0.208	  0.486	  0.520	  0.475	  0.449
          2.472	  0.202	  0.481	  0.525	  0.465	  0.471
          2.480	  0.196	  0.476	  0.520	  0.445	  0.490
          2.488	  0.192	  0.472	  0.520	  0.425	  0.520
          2.496	  0.188	  0.468	  0.520	  0.404	  0.565
          2.504	  0.183	  0.465	  0.516	  0.380	  0.600
          2.512	  0.179	  0.462	  0.516	  0.349	  0.645
          2.520	  0.175	  0.460	  0.510	  0.320	  0.696
          2.528	  0.171	  0.458	  0.510	  0.290	  0.745
          2.536	  0.168	  0.457	  0.506	  0.269	  0.776
          2.544	  0.165	  0.454	  0.520	  0.255	  0.796
          2.552	  0.163	  0.450	  0.520	  0.259	  0.796
          2.560	  0.161	  0.446	  0.520	  0.265	  0.780
          2.568	  0.159	  0.442	  0.506	  0.290	  0.741
          2.576	  0.158	  0.438	  0.500	  0.320	  0.700
          2.584	  0.157	  0.433	  0.494	  0.359	  0.651
          2.592	  0.155	  0.429	  0.500	  0.404	  0.584
          2.600	  0.154	  0.424	  0.506	  0.445	  0.525
          2.608	  0.153	  0.418	  0.516	  0.475	  0.480
          2.616	  0.152	  0.414	  0.529	  0.494	  0.455
          2.624	  0.152	  0.412	  0.545	  0.506	  0.429
          2.632	  0.151	  0.410	  0.545	  0.516	  0.416
          2.640	  0.150	  0.409	  0.565	  0.529	  0.400
          2.648	  0.149	  0.410	  0.575	  0.535	  0.390
          2.656	  0.148	  0.410	  0.575	  0.539	  0.390
          2.664	  0.147	  0.410	  0.571	  0.525	  0.404
          2.672	  0.145	  0.411	  0.571	  0.529	  0.416
          2.680	  0.143	  0.411	  0.575	  0.535	  0.410
          2.688	  0.141	  0.411	  0.571	  0.520	  0.420
          2.696	  0.138	  0.411	  0.580	  0.520	  0.425
          2.704	  0.134	  0.411	  0.575	  0.525	  0.420
          2.712	  0.131	  0.411	  0.580	  0.520	  0.425
          2.720	  0.127	  0.411	  0.571	  0.520	  0.416
          2.728	  0.123	  0.412	  0.575	  0.520	  0.425
          2.736	  0.118	  0.411	  0.571	  0.516	  0.425
          2.744	  0.112	  0.411	  0.571	  0.520	  0.416
          2.752	  0.106	  0.411	  0.565	  0.529	  0.410
          2.760	  0.099	  0.410	  0.555	  0.529	  0.404
          2.768	  0.091	  0.410	  0.545	  0.545	  0.394
          2.776	  0.083	  0.410	  0.539	  0.529	  0.404
          2.784	  0.075	  0.410	  0.535	  0.535	  0.400
          2.792	  0.066	  0.411	  0.539	  0.539	  0.380
          2.800	  0.060	  0.413	  0.545	  0.520	  0.404
          2.808	  0.053	  0.416	  0.561	  0.525	  0.410
          2.816	  0.048	  0.425	  0.590	  0.520	  0.404
          2.824	  0.042	  0.438	  0.600	  0.516	  0.416
          2.832	  0.037	  0.456	  0.590	  0.520	  0.394
          2.840	  0.032	  0.476	  0.561	  0.535	  0.375
          2.848	  0.027	  0.497	  0.529	  0.539	  0.365
          2.856	  0.023	  0.518	  0.500	  0.539	  0.359
          2.864	  0.022	  0.538	  0.490	  0.545	  0.359
          2.872	  0.020	  0.555	  0.480	  0.545	  0.365
          2.880	  0.020	  0.570	  0.475	  0.555	  0.355
          2.888	  0.020	  0.581	  0.480	  0.551	  0.359
          2.896	  0.022	  0.587	  0.494	  0.561	  0.349
          2.904	  0.026	  0.592	  0.494	  0.565	  0.339
          2.912	  0.031	  0.597	  0.500	  0.571	  0.335
          2.920	  0.037	  0.599	  0.490	  0.571	  0.335
          2.928	  0.045	  0.600	  0.484	  0.561	  0.345
          2.936	  0.053	  0.600	  0.584	  0.596	  0.274
          2.944	  0.063	  0.598	  0.616	  0.506	  0.429
          2.952	  0.072	  0.594	  0.290	  0.155	  1.092
          2.960	  0.083	  0.589	 -0.363	 -0.353	  1.504
          2.968	  0.094	  0.585	 -0.502	 -0.378	  1.504
          2.976	  0.105	  0.577	 -0.006	  0.345	  0.896
          2.984	  0.115	  0.567	  0.380	  0.590	  0.359
          2.992	  0.127	  0.556	  0.445	  0.571	  0.339
          3.000	  0.139	  0.545	  0.471	  0.551	  0.355
          3.008	  0.152	  0.532	  0.494	  0.561	  0.335
          3.016	  0.165	  0.517	  0.516	  0.571	  0.310
          3.024	  0.177	  0.503	  0.529	  0.565	  0.314
          3.032	  0.189	  0.492	  0.516	  0.561	  0.310
          3.040	  0.200	  0.482	  0.506	  0.565	  0.320
          3.048	  0.211	  0.476	  0.510	  0.551	  0.335
          3.056	  0.223	  0.472	  0.506	  0.561	  0.329
          3.064	  0.235	  0.470	  0.500	  0.545	  0.345
          3.072	  0.247	  0.469	  0.494	  0.551	  0.355
          3.080	  0.260	  0.467	  0.500	  0.539	  0.359
          3.088	  0.274	  0.466	  0.484	  0.535	  0.371
          3.096	  0.287	  0.465	  0.475	  0.539	  0.375
          3.104	  0.301	  0.463	  0.471	  0.520	  0.390
          3.112	  0.315	  0.461	  0.475	  0.506	  0.420
          3.120	  0.327	  0.459	  0.471	  0.490	  0.445
          3.128	  0.339	  0.456	  0.475	  0.465	  0.480
          3.136	  0.350	  0.453	  0.471	  0.435	  0.529
          3.144	  0.361	  0.450	  0.465	  0.404	  0.571
          3.152	  0.372	  0.446	  0.455	  0.375	  0.620
          3.160	  0.384	  0.441	  0.449	  0.335	  0.686
          3.168	  0.397	  0.435	  0.435	  0.304	  0.725
          3.176	  0.410	  0.430	  0.429	  0.294	  0.741
          3.184	  0.420	  0.425	  0.439	  0.290	  0.745
          3.192	  0.432	  0.421	  0.429	  0.284	  0.755
          3.200	  0.442	  0.417	  0.445	  0.304	  0.725
          3.208	  0.452	  0.414	  0.445	  0.329	  0.686
          3.216	  0.462	  0.413	  0.465	  0.375	  0.616
          3.224	  0.474	  0.411	  0.465	  0.404	  0.565
          3.232	  0.487	  0.411	  0.475	  0.455	  0.494
          3.240	  0.499	  0.409	  0.490	  0.500	  0.420
          3.248	  0.512	  0.407	  0.500	  0.535	  0.371
          3.256	  0.526	  0.406	  0.490	  0.551	  0.349
          3.264	  0.540	  0.405	  0.510	  0.565	  0.329
          3.272	  0.554	  0.404	  0.510	  0.584	  0.300
          3.280	  0.567	  0.403	  0.520	  0.584	  0.304
          3.288	  0.580	  0.402	  0.516	  0.590	  0.284
          3.296	  0.592	  0.402	  0.520	  0.590	  0.290
          3.304	  0.605	  0.401	  0.506	  0.596	  0.284
          3.312	  0.619	  0.399	  0.520	  0.584	  0.300
          3.320	  0.632	  0.397	  0.520	  0.580	  0.310
          3.328	  0.646	  0.394	  0.529	  0.575	  0.304
          3.336	  0.661	  0.392	  0.520	  0.565	  0.329
          3.344	  0.674	  0.390	  0.525	  0.571	  0.335
          3.352	  0.687	  0.389	  0.529	  0.565	  0.335
          3.360	  0.699	  0.388	  0.529	  0.571	  0.335
          3.368	  0.711	  0.388	  0.525	  0.565	  0.339
          3.376	  0.721	  0.388	  0.520	  0.551	  0.355
          3.384	  0.733	  0.388	  0.516	  0.545	  0.355
          3.392	  0.744	  0.387	  0.506	  0.551	  0.355
          3.400	  0.756	  0.385	  0.510	  0.545	  0.355
          3.408	  0.767	  0.383	  0.506	  0.555	  0.349
          3.416	  0.778	  0.381	  0.510	  0.561	  0.339
          3.424	  0.789	  0.379	  0.506	  0.555	  0.345
          3.432	  0.801	  0.378	  0.516	  0.551	  0.349
          3.440	  0.810	  0.380	  0.539	  0.555	  0.355
          3.448	  0.820	  0.382	  0.561	  0.545	  0.365
          3.456	  0.830	  0.388	  0.575	  0.535	  0.371
          3.464	  0.840	  0.397	  0.590	  0.539	  0.371
          3.472	  0.851	  0.409	  0.571	  0.539	  0.375
          3.480	  0.862	  0.425	  0.545	  0.555	  0.335
          3.488	  0.875	  0.441	  0.506	  0.565	  0.320
          3.496	  0.888	  0.457	  0.500	  0.565	  0.335
          3.504	  0.899	  0.477	  0.490	  0.561	  0.339
          3.512	  0.912	  0.496	  0.500	  0.571	  0.345
          3.520	  0.923	  0.513	  0.500	  0.580	  0.324
          3.528	  0.935	  0.530	  0.520	  0.575	  0.324
          3.536	  0.947	  0.544	  0.535	  0.590	  0.304
          3.544	  0.960	  0.554	  0.520	  0.596	  0.300
          3.552	  0.975	  0.564	  0.500	  0.584	  0.310
          3.560	  0.988	  0.571	  0.516	  0.590	  0.310
          3.568	  0.994	  0.574	  0.584	  0.606	  0.290
          3.576	  1.000	  0.576	  0.680	  0.616	  0.255
          3.584	  1.000	  0.577	  0.571	  0.394	  0.651
          3.592	  1.000	  0.577	  0.069	 -0.147	  1.504
          3.600	  1.000	  0.577	 -0.427	 -0.392	  1.504
          3.608	  1.000	  0.574	 -0.433	  0.059	  1.463
          3.616	  1.000	  0.570	  0.304	  0.535	  0.506
          3.624	  1.000	  0.562	  0.506	  0.606	  0.329
          3.632	  1.000	  0.551	  0.529	  0.561	  0.359
          3.640	  1.000	  0.540	  0.539	  0.545	  0.365
          3.648	  1.000	  0.527	  0.555	  0.545	  0.371
          3.656	  1.000	  0.515	  0.561	  0.545	  0.359
          3.664	  1.000	  0.504	  0.580	  0.561	  0.335
          3.672	  1.000	  0.497	  0.584	  0.555	  0.335
          3.680	  1.000	  0.490	  0.565	  0.545	  0.349
